Timestamp,Username,Group No.,Member - 1 Github Username,Member - 2 Github Username,Member - 3 Github Username,Group No.,Github Repo Name
10/4/2016 16:51:01,,143,briankim1500,,,,
10/4/2016 17:05:10,,27,nayamada,,,,
10/4/2016 17:07:33,,22,xiejiashan,kennyhk418,thimach,,
10/4/2016 17:37:24,,104,ktain,,,,
10/4/2016 18:08:21,,34,aul007,jew081,pipzhou,,
10/4/2016 18:22:02,,94,lindagaw,ziy008,ybwbqg9379,,
10/4/2016 23:19:00,,102,kenekeenken,perry-liu,qtmluong ,,
10/5/2016 8:03:41,,129,DMKimball,,,,
10/5/2016 11:29:21,,66,p3hoang,jonathaninikido,holsamoht,,
10/5/2016 11:39:29,,7,izeferino94,jfsalaza,,,
10/5/2016 15:43:51,,10,VincentOcampo,,,,
10/5/2016 15:58:48,,187,andyccliao,,,,
10/5/2016 16:27:29,,20,yazin-yousif,wookiee323,jleovao,,
10/5/2016 17:00:40,,48,yuz302,yuy079,JinghongXu,,
10/5/2016 17:59:54,,175,GeovonniN,,,,
10/5/2016 18:11:25,,158,clarenceccn,,,,
10/5/2016 18:12:36,,32,dkostins,dominicgomez,nsperkins,,
